"Symbol" "baseline" "Symptomatic" "Asymptomatic"
"HBA2" 0.100519277038683 0.535832869545863 0
"HBA1" 0.109669863567872 0.227906210550421 0
"ACTB" 0.228228365291311 0.599164715135379 0.220863111617849
"UBB" 0.118931210162723 0 0
"HBB" 0.128408163685763 0.320030667623524 0
"IFITM2" 0 0 0
"UBC" 0.273531105519477 0 0
"H3F3AP6" 0.110332950694495 0 0.18295961075094
"H3F3AP4" 0.110332950694495 0 0.18295961075094
"H3F3A" 0.110332950694495 0 0.18295961075094
"H3F3BP1" 0.110332950694495 0 0.18295961075094
"HLA-C" 0 0.298254572423547 0.659667005206061
"HLA-B" 0 0.298254572423547 0.659667005206061
"HLA-A" 0.224541740120533 0.318058444720177 0.206774741644016
"RPS2" 0.142599635411063 1.54148632904523 0.460665879977115
"SNORA64" 0.142599635411063 1.54148632904523 0.460665879977115
"SNORA10" 0.142599635411063 1.54148632904523 0.460665879977115
"RPL23A" 0 1.77024088712836 0.237721051131715
"RPL23AP65" 0 1.77024088712836 0.237721051131715
"RPL23AP42" 0 1.77024088712836 0.237721051131715
"RPL23AP2" 0 1.77024088712836 0.237721051131715
"RPL23AP74" 0 1.77024088712836 0.237721051131715
"FTL" 0 0.259291302662173 0
"FTLP3" 0 0.259291302662173 0
"MIR6891" 0.263831205499515 0.227120106543217 0.331556030137683
"RPL28" 0.155702639088912 0 0.192997826558959
"RPLP1" 0 1.46916774909214 0
"OAZ1" 0.107541778740713 0 0
"UBA52" 0.116812812743702 0 0
"EEF1A1P5" 0.230630861873425 0 0
"EEF1A1P6" 0.230630861873425 0 0
"EEF1A1" 0.230630861873425 0 0
"EEF1A1P13" 0.230630861873425 0 0
"EEF1A1P9" 0.230630861873425 0 0
"RPS15" 0.129207499167244 0.878086438196947 0.475374818420174
"RPL13" 0 1.36293433951487 0.185276429518643
"HLA-E" 0 0.227702824965211 0.182132699181724
"RPL37A" 0.124282289834289 0.229830188302374 0
"S100A9" 0 0 0
"TXNIP" 0 1.03075156426715 0.494565320029403
"ACTG1" 0 0.540508802656227 0.229263066500856
"CFL1" 0.118034206692764 0.233273499801654 0
"TMSB4X" 0.238976562629028 0 0
"TMSB4XP8" 0.238976562629028 0 0
"TMSB4XP6" 0.238976562629028 0 0
"RPS11" 0.124637196677162 0.229962727416688 0
"RPL7A" 0.147820590069518 1.2177517152359 0
"SNORD36B" 0.147820590069518 1.2177517152359 0
"RPL7AP6" 0.147820590069518 1.2177517152359 0
"SNORD36A" 0.147820590069518 1.2177517152359 0
"LAPTM5" 0.109342562746939 0.47034312239913 0.554137730045215
"ITM2B" 0 0 0.209563420668453
"FTH1" 0.114792522202524 0.260374748182834 0
"FTH1P2" 0.114792522202524 0.260374748182834 0
"FTH1P16" 0.114792522202524 0.260374748182834 0
"FTH1P11" 0.114792522202524 0.260374748182834 0
"FTH1P20" 0.114792522202524 0.260374748182834 0
"EIF1" 0.312650070885753 0.857150397355491 0
"SNORD68" 0 1.2492929992065 0
"EEF2" 0.116874220280955 1.55084277188449 0.242479498798589
"RPS4X" 0.106195259769665 0.863337275354245 0
"RPL18A" 0.169076125022351 0.222334831358967 0
"RPL18AP3" 0.169076125022351 0.222334831358967 0
"B2M" 0.139405647006616 0 0
"PABPC1" 0.120176381495597 0.918306216812998 0
"RPS16" 0.153079625153411 1.19274432841743 0
"RPLP2" 0.116538879871337 0.84370894293842 0.187080798232336
"RPS28P7" 0.14064224609981 0.270902449304734 0
"RPS28" 0.14064224609981 0.270902449304734 0
"RPL10P9" 0.125819802826758 0.943316955767272 0.190636853687557
"SNORA70" 0.125819802826758 0.943316955767272 0.190636853687557
"RPL10P16" 0.125819802826758 0.943316955767272 0.190636853687557
"RPL10" 0.125819802826758 0.943316955767272 0.190636853687557
"HLA-G" 0.235121081518688 0.236206146181138 0.234707641138684
"GNAS" 0.111306385593336 0.545641902296635 0
"EEF1A1P11" 0.11677131036858 0 0.246267552979064
"EEF1A1P19" 0.211248935067517 0 0
"SNORD33" 0.140655979710044 0.263038320088128 0
"SNORD34" 0.140655979710044 0.263038320088128 0
"RPL13AP5" 0.140655979710044 0.263038320088128 0
"RPL13AP20" 0.140655979710044 0.263038320088128 0
"RPL13A" 0.140655979710044 0.263038320088128 0
"VIM" 0.2337964253819 0.597467896913575 0.190335325509062
"SNORA7A" 0.239186778037499 0.249506541437835 0
"RPL32" 0.239186778037499 0.249506541437835 0
"RPL19" 0.162098326733305 0.862923258019774 0
"FPR1" 0 0.49017071621582 0.183755180316163
"RPS12" 0.166500482693717 0 0
"RPS19" 0.101067553228791 0.946330179539517 0.222114449711882
"FCGR3B" 0.109927914466162 0 0
"RAC2" 0.126233991219402 0.368564441810886 0.232305141654141
"IFITM3" 0 1.1707982822444 0.270131776359332
"RPL27A" 0.230809570744462 0.482515848103769 0
"SNORA3A" 0.230809570744462 0.482515848103769 0
"CD74" 0.240539482343254 0.313330054628903 0
"TPT1" 0.10076437613674 0.850223450517445 0.839568984564542
"RPL13AP25" 0.138585471201839 0.247308030157508 0
"H3F3B" 0.148851800673255 0 0
"FTH1P5" 0.227976355969866 0 0
"TMSB10" 0.132672094639976 0.488634667368586 0.380704377516338
"IFITM1" 0 3.41871774561095 1.00088366400125
"TALDO1" 0.113480656593994 0 0
"PSAP" 0.104120165464542 0.419855773796418 0.693925992756421
"ARHGDIB" 0.15876455594012 0.2517074086456 0
"SELL" 0 1.10616000602753 0.201046154763956
