"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"GSM429241" 0.0189171900699792 "baseline" "GSM429241" 0.0201036933663479 "baseline"
"GSM429243" 0.107290531848442 "baseline" "GSM429243" 0.160264184546765 "baseline"
"GSM429245" 0.0340149218609716 "baseline" "GSM429245" 0.0232851433203774 "baseline"
"GSM429247" 0.0392641406043153 "baseline" "GSM429247" 0.0542523158491874 "baseline"
"GSM429249" 0.0654069147909602 "baseline" "GSM429249" 0.0325348023635784 "baseline"
"GSM429251" 0.0272342965036175 "baseline" "GSM429251" 0.0256041212467451 "baseline"
"GSM429253" 0.0125291699912791 "baseline" "GSM429253" 0.0161744522820022 "baseline"
"GSM429255" 0.0495773516560003 "baseline" "GSM429255" 0.054242851301644 "baseline"
"GSM429257" 0.0216685366768955 "baseline" "GSM429257" 0.0192143603125509 "baseline"
"GSM429259" 0.110728586298417 "baseline" "GSM429259" 0.0990445177709152 "baseline"
"GSM429261" 0.0469512884388842 "baseline" "GSM429261" 0.0696878939309406 "baseline"
"GSM429263" 0.063287999495109 "baseline" "GSM429263" 0.0719257285119156 "baseline"
"GSM429265" 0.0367819174465466 "baseline" "GSM429265" 0.0492778225061424 "baseline"
"GSM429267" 0.029109079690273 "baseline" "GSM429267" 0.0254890052783084 "baseline"
"GSM429269" 0.101177482656027 "baseline" "GSM429269" 0.0672302625945485 "baseline"
"GSM429271" 0.0243142632786113 "baseline" "GSM429271" 0.0173453883818716 "baseline"
"GSM429273" 0.14055000927729 "baseline" "GSM429273" 0.0545810439363426 "baseline"
"GSM429275" 0.186064916500966 "baseline" "GSM429275" 0.188316077440348 "baseline"
"GSM429277" 0.0171915690624185 "baseline" "GSM429277" 0.0238763839347361 "baseline"
"GSM429279" 1.04964278551029 "baseline" "GSM429279" 0.456178376587022 "baseline"
"GSM429242" 0.50190229663307 "Symptomatic" "GSM429242" 1.38081937893047 "Symptomatic"
"GSM429244" 0.506693279495865 "Symptomatic" "GSM429244" 1.51909872798437 "Symptomatic"
"GSM429246" 0.2584916780441 "Symptomatic" "GSM429246" 0.761476551271136 "Symptomatic"
"GSM429248" 0.119287523148173 "Asymptomatic" "GSM429248" 0.285681579416608 "Asymptomatic"
"GSM429250" 0.0989878392541855 "Asymptomatic" "GSM429250" 0.286837993254687 "Asymptomatic"
"GSM429252" 0.672032963318519 "Symptomatic" "GSM429252" 1.58337226388648 "Symptomatic"
"GSM429254" 0.152245593395569 "Symptomatic" "GSM429254" 0.40823497035717 "Symptomatic"
"GSM429256" 0.0559103374949214 "Asymptomatic" "GSM429256" 0.155638503244847 "Asymptomatic"
"GSM429258" 0.148819616789608 "Asymptomatic" "GSM429258" 0.382508106604683 "Asymptomatic"
"GSM429260" 0.166450490776161 "Asymptomatic" "GSM429260" 0.38006014234412 "Asymptomatic"
"GSM429262" 0.420802062232723 "Symptomatic" "GSM429262" 1.05000695635031 "Symptomatic"
"GSM429264" 0.193424586073608 "Symptomatic" "GSM429264" 0.529177181771933 "Symptomatic"
"GSM429266" 0.156717911648917 "Asymptomatic" "GSM429266" 0.389568392498266 "Asymptomatic"
"GSM429268" 0.150869069316124 "Symptomatic" "GSM429268" 0.504005641992386 "Symptomatic"
"GSM429270" 0.100350067416647 "Asymptomatic" "GSM429270" 0.246570168469088 "Asymptomatic"
"GSM429272" 0.1851520394406 "Asymptomatic" "GSM429272" 0.587347046123905 "Asymptomatic"
"GSM429274" 0.0880568747151611 "Asymptomatic" "GSM429274" 0.24559114176853 "Asymptomatic"
"GSM429276" 0.268645127459785 "Asymptomatic" "GSM429276" 0.54577621516816 "Asymptomatic"
"GSM429278" 0.13839472289516 "Asymptomatic" "GSM429278" 0.32383755930274 "Asymptomatic"
"GSM429280" 0.295432744000703 "Symptomatic" "GSM429280" 0.72572106467909 "Symptomatic"
