"Symbol" "GSM429241" "GSM429243" "GSM429245" "GSM429247" "GSM429249" "GSM429251" "GSM429253" "GSM429255" "GSM429257" "GSM429259" "GSM429261" "GSM429263" "GSM429265" "GSM429267" "GSM429269" "GSM429271" "GSM429273" "GSM429275" "GSM429277" "GSM429279" "GSM429242" "GSM429244" "GSM429246" "GSM429248" "GSM429250" "GSM429252" "GSM429254" "GSM429256" "GSM429258" "GSM429260" "GSM429262" "GSM429264" "GSM429266" "GSM429268" "GSM429270" "GSM429272" "GSM429274" "GSM429276" "GSM429278" "GSM429280"
"HBA2" 0 0 0 0 0 0 0 0 0 0 0 2.01038554077365 0 0 0 0 0 0 0 0 2.2563461933079 0 0 0 0 0 2.56614963260486 0 0 0 0 0 0 0 0 0 0 0 0 0
"HBA1" 0 0 0 0 0 0 0 0 0 0 0 2.19339727135744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05115589495379 0 0 0 0 0 0 0 0 0 0 0 0 0
"ACTB" 0 0 0 0 0 0 0 0 0 0 2.23949626453205 2.32507104129417 0 0 0 0 0 0 0 0 0 2.05768053293713 0 0 2.42949422779634 0 0 0 0 0 3.33480190328128 0 0 0 0 0 0 0 0 0
"UBB" 0 0 0 0 0 0 0 2.37862420325445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HBB" 0 0 0 0 0 0 0 0 0 0 0 2.56816327371526 0 0 0 0 0 0 0 0 0 0 0 0 0 2.88027600861172 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IFITM2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"UBC" 0 0 0 0 0 0 0 0 0 3.46131778749436 0 0 0 0 0 2.00930432289517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"H3F3AP6" 0 2.20665901388989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01255571826034 0 0 0 0 0 0 0
"H3F3AP4" 0 2.20665901388989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01255571826034 0 0 0 0 0 0 0
"H3F3A" 0 2.20665901388989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01255571826034 0 0 0 0 0 0 0
"H3F3BP1" 0 2.20665901388989 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.01255571826034 0 0 0 0 0 0 0
"HLA-C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1970007513159 0 0 0 2.96879288554499 2.09054342040577 2.68429115181192 0 0 0 0 0 0 0 0 0
"HLA-B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1970007513159 0 0 0 2.96879288554499 2.09054342040577 2.68429115181192 0 0 0 0 0 0 0 0 0
"HLA-A" 0 0 0 0 0 0 0 0 0 0 2.33234598936553 2.15848881304514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.86252600248159 0 0 0 0 0 0 2.27452215808417 0 0
"RPS2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.85199270822127 4.43255005573098 4.00164921317737 0 0 0 0 2.20683443700773 0 0 0 0 0 2.66148394875304 0 0 0 0 2.40584073099522 0 3.23234325549095
"SNORA64" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.85199270822127 4.43255005573098 4.00164921317737 0 0 0 0 2.20683443700773 0 0 0 0 0 2.66148394875304 0 0 0 0 2.40584073099522 0 3.23234325549095
"SNORA10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.85199270822127 4.43255005573098 4.00164921317737 0 0 0 0 2.20683443700773 0 0 0 0 0 2.66148394875304 0 0 0 0 2.40584073099522 0 3.23234325549095
"RPL23A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37271023319575 3.35638318912769 2.75153784336195 0 0 0 2.22238756394261 0 0 0 0 0 0 0 0 2.61493156244886 0 0 0 3.2291491545272
"RPL23AP65" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37271023319575 3.35638318912769 2.75153784336195 0 0 0 2.22238756394261 0 0 0 0 0 0 0 0 2.61493156244886 0 0 0 3.2291491545272
"RPL23AP42" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37271023319575 3.35638318912769 2.75153784336195 0 0 0 2.22238756394261 0 0 0 0 0 0 0 0 2.61493156244886 0 0 0 3.2291491545272
"RPL23AP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37271023319575 3.35638318912769 2.75153784336195 0 0 0 2.22238756394261 0 0 0 0 0 0 0 0 2.61493156244886 0 0 0 3.2291491545272
"RPL23AP74" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37271023319575 3.35638318912769 2.75153784336195 0 0 0 2.22238756394261 0 0 0 0 0 0 0 0 2.61493156244886 0 0 0 3.2291491545272
"FTL" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33362172395955 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FTLP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.33362172395955 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MIR6891" 0 0 0 0 2.94429391067447 0 0 0 0 0 0 2.33233019931583 0 0 0 0 0 0 0 0 0 0 0 0 3.64711633151451 0 0 0 0 0 2.04408095888895 0 0 0 0 0 0 0 0 0
"RPL28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.11405278177825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.12297609214855 0 0 0 0
"RPLP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.0286096339461 2.77902521211009 2.31722317611703 0 0 0 2.95234555428383 0 0 0 0 0 0 0 0 0 0 0 0 2.14530616537222
"OAZ1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.15083557481426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"UBA52" 0 0 0 0 0 0 0 0 0 0 0 2.33625625487404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1P5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09015257013524 0 2.52246466733326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1P6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09015257013524 0 2.52246466733326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09015257013524 0 2.52246466733326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1P13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09015257013524 0 2.52246466733326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EEF1A1P9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.09015257013524 0 2.52246466733326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
